epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,lr
1,918,1.229003,1.229003,96.2791,0.000000,0.000000,0.000000,0.000000,0.00100000
1,919,1.624498,1.624498,79.3259,0.000000,0.000000,0.000000,0.000000,0.00100000
1,920,1.530699,1.530699,108.5412,0.000000,0.000000,0.000000,0.000000,0.00100000
1,921,1.415317,1.415317,106.5915,0.000000,0.000000,0.000000,0.000000,0.00100000
1,922,1.762224,1.762224,102.6927,0.000000,0.000000,0.000000,0.000000,0.00100000
1,959,1.425261,1.425261,80.0827,0.000000,0.000000,0.000000,0.000000,0.00100000
1,960,1.355314,1.355314,88.4148,0.000000,0.000000,0.000000,0.000000,0.00100000
1,961,1.408606,1.408606,94.1915,0.000000,0.000000,0.000000,0.000000,0.00100000
1,962,1.613069,1.613069,95.9928,0.000000,0.000000,0.000000,0.000000,0.00100000
1,963,1.429907,1.429907,106.1585,0.000000,0.000000,0.000000,0.000000,0.00100000
1,964,1.679621,1.679621,114.3775,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1001,1.571149,1.571149,109.7072,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1002,1.448321,1.448321,95.2710,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1003,1.437263,1.437263,95.2376,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1004,1.302925,1.302925,99.7745,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1005,1.521503,1.521503,93.6033,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1006,1.216192,1.216192,85.4819,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1042,1.253138,1.253138,88.7460,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1043,1.466440,1.466440,104.1688,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1044,1.284963,1.284963,103.2427,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1045,1.563923,1.563923,120.5512,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1046,1.927865,1.927865,91.6153,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1047,1.517517,1.517517,82.3085,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1084,2.410456,2.410456,74.7310,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1085,1.530197,1.530197,90.1077,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1086,1.557214,1.557214,83.9054,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1087,1.715843,1.715843,97.7633,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1088,1.511845,1.511845,92.0754,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1089,1.447577,1.447577,111.8950,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1126,1.850516,1.850516,70.9078,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1127,1.559560,1.559560,81.5413,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1128,1.322919,1.322919,91.5008,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1129,1.304838,1.304838,106.6974,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1130,1.328267,1.328267,103.8111,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1131,1.217188,1.217188,96.1741,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1167,1.177025,1.177025,82.0152,0.000000,0.000000,0.000000,0.000000,0.00100000
