epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,translation,lr
1,84,5.794462,0.000124,70.1657,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,85,5.590682,0.000140,49.3551,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,86,5.196148,0.000151,45.5063,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,87,4.565942,0.000129,49.7178,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,88,6.000610,0.000138,53.1608,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,89,4.808910,0.000140,44.3553,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,90,6.034817,0.000136,97.0057,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,91,6.323322,0.000139,54.9212,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,92,6.624048,0.000159,40.0149,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,93,5.593676,0.000110,62.5674,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,94,5.158039,0.000142,50.6138,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,95,5.021590,0.000127,47.9338,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,96,4.147582,0.000108,41.1451,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,97,8.553822,0.000180,47.5749,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,98,4.775634,0.000139,48.0738,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,99,6.355862,0.000131,48.9308,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,100,5.445945,0.000146,54.9946,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,101,4.198335,0.000123,48.9113,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,102,4.612727,0.000103,65.5554,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
